"job_id","company_name","job_title","job_schedule_type","job_posted_date","salary_year_avg"
226942,"Mantys","Data Analyst","Full-time","2023-02-20 15:13:33","650000.0"
547382,"Meta","Director of Analytics","Full-time","2023-08-23 12:04:42","336500.0"
552322,"AT&T","Associate Director- Data Insights","Full-time","2023-06-18 16:03:12","255829.5"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Full-time","2023-12-05 20:00:40","232423.0"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Full-time","2023-01-17 00:17:23","217000.0"
168310,"SmartAsset","Principal Data Analyst (Remote)","Full-time","2023-08-09 11:00:01","205000.0"
731368,"Inclusively","Director, Data Analyst - HYBRID","Full-time","2023-12-07 15:00:13","189309.0"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","Full-time","2023-01-05 00:00:25","189000.0"
1749593,"SmartAsset","Principal Data Analyst","Full-time","2023-07-11 16:00:05","186000.0"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","Full-time","2023-06-09 08:01:04","184000.0"
